num,trdar_cd_nm,lon,lat
390,갈현로1길,126.908582,37.599575
391,갈현로33길,126.9132712,37.6216341
392,갈현로41길,126.9146049,37.6252706
393,갈현로7길,126.9084764,37.6039169
394,불광천길,126.9150787,37.5922235
395,서오릉로21길,126.9064354,37.6142936
396,서오릉로8길,126.9233954,37.6088148
397,수색로18길,126.8934217,37.5857862
398,역말로9길,126.9219924,37.6132182
399,연서로11길,126.9135083,37.6084421
400,연서로13길,126.9131031,37.6096633
401,연서로16길,126.9183338,37.6092322
402,연서로17길,126.9146012,37.6136331
403,연서로21길,126.9157423,37.6152234
404,연서로27길,126.917352,37.6180865
405,연서로28길,126.921456,37.6174348
406,연서로29길,126.9181893,37.6194614
407,연서로33길,126.9242014,37.6219056
408,연서로34길,126.9287758,37.621558
409,연서로3길,126.9126299,37.6024986
410,연서로41길,126.9261025,37.6265211
411,연서로5길,126.9124613,37.6038091
412,은평로10길,126.9242528,37.5989298
413,은평로13길,126.9149246,37.5889318
414,은평로20길,126.9332329,37.5997949
415,은평로3길,126.9148639,37.6003675
416,은평로8길,126.9196683,37.5982091
417,응암로12길,126.9184079,37.5876528
418,응암로13길,126.9149246,37.5889318
419,응암로14길,126.9197494,37.589883
420,응암로22길,126.9207154,37.5934238
421,응암로34길,126.9230214,37.5977468
422,증산로13길,126.9102603,37.5880153
423,증산로15길,126.908343,37.5900323
424,증산로17길,126.9096189,37.5910476
425,증산로21길,126.9127973,37.5961241
426,증산로5길,126.9056018,37.583846
427,증산로9길,126.9074105,37.58601
428,증산서길,126.9075036,37.5846243
429,진흥로12길,126.9268975,37.6075571
430,진흥로1길,126.9185098,37.6033089
431,통일로69길,126.9261456,37.6111154
432,통일로78길,126.9243878,37.6185485
433,통일로87길,126.9179892,37.6232305
434,통일로92길,126.9223725,37.625885
435,가재울로6길,126.9232664,37.5763016
436,독립문로8길,126.9601395,37.5673076
437,명지대길,126.9238844,37.5826894
438,모래내로15길,126.9198012,37.5740091
439,북아현로4길,126.9583898,37.5597105
440,세검정로1길,126.9443997,37.5936893
441,세무서2길,126.94632,37.58882
442,세무서길,126.945948,37.589915
443,수색로8길,126.9063763,37.5763013
444,신촌로37길,126.9587522,37.5581447
445,연희로10길,126.932779,37.5651751
446,응암로1길,126.9103991,37.5815793
447,증가로10길,126.9250581,37.57933
448,증가로20가길,126.9198261,37.5815978
449,증가로23나길,126.9132171,37.5806817
450,증가로6길,126.9267646,37.5780798
451,충정로4길,126.9641918,37.5608417
452,충정로6길,126.9670095,37.5626702
453,통일로11길,126.9623247,37.5692354
454,통일로37길,126.9440977,37.587035
455,통일로39길,126.9417092,37.5877256
456,홍연길,NA,NA
457,홍제내길,126.9368699,37.5867942
458,광성로6길,126.939555,37.5478241
459,대흥로21길,126.9440734,37.5532508
460,대흥로28길,126.9472639,37.5552531
461,도화4길,126.951186,37.5399499
462,도화길,126.949725,37.5409204
463,독막로22길,126.9283471,37.5464659
464,독막로32길,126.938245,37.546154
465,독막로8길,126.9179263,37.5468636
466,동교로17길,126.914952,37.5573668
467,동교로19길,126.9170088,37.5575678
468,동교로25길,126.9205348,37.5588443
469,동교로27길,126.9217343,37.5596674
470,동교로38길,126.925644,37.5616698
471,마포대로12길,126.954604,37.5470612
472,마포대로20길,126.9576095,37.5518015
473,마포대로4길,126.9459292,37.5368684
474,만리재옛길,126.9568875,37.5475132
475,망원로11길,126.9058145,37.5595587
476,망원로2길,126.902117,37.5545778
477,매봉산로2길,126.8956667,37.5773826
478,모래내로7길,126.9107738,37.5675648
